dataset,num_rotations,bootstrap_size,num_trees,fold,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
covtype,10,50,10,1,0.7153663448133423,0.40151428982655096,0.7153663448133422,0.39804340337169425,0.686732795771511,0.7153663448133423,0.5496824277507497
covtype,10,50,10,2,0.7158541107881777,0.4066054650153969,0.7158541107881777,0.4174403349246005,0.7068450049444361,0.7158541107881777,0.5501062719707802
covtype,10,50,10,3,0.7219242142906265,0.4000619765807229,0.7219242142906265,0.3988370813848942,0.6881446907649861,0.7219242142906265,0.5578902962564837
covtype,10,50,10,4,0.7253945826728238,0.3991374333394554,0.7253945826728238,0.39599537308498284,0.6905794066512828,0.7253945826728238,0.5614033106077014
covtype,10,50,10,5,0.7243751019672159,0.38417793490423335,0.7243751019672158,0.3805863796029255,0.6969171155224746,0.7243751019672159,0.5592945759622052
covtype,10,10,1,1,0.7174919536668904,0.40547784023975625,0.7174919536668904,0.408133560369067,0.6890595661634445,0.7174919536668904,0.552367751769872
covtype,10,10,1,2,0.7163284490862519,0.4062494353153223,0.716328449086252,0.41341499522700925,0.705031048436995,0.7163284490862519,0.5510075083073392
covtype,10,10,1,3,0.7218984251427,0.42744734296627745,0.7218984251427001,0.44969108061029145,0.692142333009637,0.7218984251427,0.5577124247563259
covtype,10,10,1,4,0.7200789165345648,0.38510977952157033,0.7200789165345648,0.3824844710798071,0.7166461188861548,0.7200789165345648,0.5540230896594659
covtype,10,10,1,5,0.7245210760868632,0.40819268766000266,0.7245210760868632,0.41079215523202545,0.7173296186227429,0.7245210760868632,0.5606617371149828
covtype,10,25,1,1,0.7183008898297791,0.39821191617302976,0.7183008898297791,0.39514916727166793,0.6853143490148393,0.7183008898297791,0.5529958708963764
covtype,10,25,1,2,0.718769135238161,0.40783643342640924,0.718769135238161,0.4263394067396811,0.7110697452207401,0.718769135238161,0.5532919973923937
covtype,10,25,1,3,0.7227322742589918,0.43021413782045587,0.7227322742589919,0.4498109382965037,0.7222137753920962,0.7227322742589918,0.5587634838382488
covtype,10,25,1,4,0.720104762561169,0.3840837402223829,0.720104762561169,0.38291150033814203,0.7198616730197369,0.720104762561169,0.554693270307919
covtype,10,25,1,5,0.7283421633364532,0.40861304103972973,0.7283421633364532,0.4130543466988827,0.7124917970005517,0.7283421633364532,0.5650732756981153
covtype,10,50,1,1,0.7165453262422333,0.4079497386417466,0.7165453262422334,0.41256854098914264,0.7084787283304755,0.7165453262422333,0.5512507672313065
covtype,10,50,1,2,0.7159662271131771,0.4051136796199133,0.7159662271131771,0.41934656972454165,0.6964450553345971,0.7159662271131771,0.5500448677657068
covtype,10,50,1,3,0.7234285812530087,0.4223813155552106,0.7234285812530087,0.4440319909653542,0.7076281388561312,0.7234285812530087,0.5595575679122292
covtype,10,50,1,4,0.7229650561720311,0.39607767831539425,0.7229650561720311,0.3950456727435697,0.7134699115377178,0.7229650561720311,0.558382604268829
covtype,10,50,1,5,0.7237139250723431,0.38393655592114023,0.7237139250723431,0.38060463730314753,0.7269893464946211,0.7237139250723431,0.5584107809567566
covtype,10,10,5,1,0.7164420577959071,0.39757017285253754,0.7164420577959071,0.3945942865777746,0.7074792243877224,0.7164420577959071,0.5509392055629163
covtype,10,10,5,2,0.7202611447939216,0.41470371806965683,0.7202611447939216,0.42814205776375863,0.6921024549039606,0.7202611447939216,0.5554589645174083
covtype,10,10,5,3,0.7216147445155079,0.40915096706526294,0.7216147445155079,0.42144020481983846,0.7046881926739774,0.7216147445155079,0.5572347772231769
covtype,10,10,5,4,0.7226635191949824,0.39450298020344654,0.7226635191949825,0.39441554559493797,0.7132291248649563,0.7226635191949824,0.5580694808212954
covtype,10,10,5,5,0.724418035531818,0.39462544120947934,0.724418035531818,0.39372875949956926,0.7197202865314264,0.724418035531818,0.5598520549512181
covtype,10,25,5,1,0.7204351043871878,0.40473698461170676,0.7204351043871878,0.4036837481785431,0.7109267241496231,0.7204351043871878,0.5559186969396801
covtype,10,25,5,2,0.7184759079266242,0.3941986080820644,0.7184759079266242,0.4031641104155129,0.7211539207175357,0.7184759079266242,0.5526459813103574
covtype,10,25,5,3,0.7202307269101162,0.3911493852769928,0.7202307269101162,0.3910695781156189,0.6871892238454353,0.7202307269101162,0.5553285373477488
