dataset,algorithm,num_rotations,fold,train_time,predict_time,accuracy,balanced_accuracy,f1_micro,f1_macro,precision,recall,jaccard
covtype,pcard,10,1,241573562150.0,42872.0,0.6768972204266321,0.3384925252504246,0.6768972204266321,0.3376671270060016,0.6218591592671846,0.6768972204266321,0.4982146648119556
covtype,pcard,10,2,221597630439.0,30964.0,0.6768910347439174,0.36731442272622644,0.6768910347439174,0.3841886659070507,0.6717573644787317,0.6768910347439174,0.4994327523102941
covtype,pcard,10,3,225344413740.0,28756.0,0.6697762641720912,0.28825300341251614,0.6697762641720912,0.2807795826095329,0.6111920170308803,0.6697762641720912,0.4905091403544
covtype,pcard,10,4,220486864760.0,29671.0,0.6560891569784927,0.2845257902383377,0.6560891569784927,0.27805351051083993,0.6122213106882349,0.6560891569784927,0.47121028137523774
covtype,pcard,10,5,219244746846.0,29807.0,0.670969681353603,0.3321599204329546,0.670969681353603,0.3416811496059215,0.639441323439886,0.670969681353603,0.49294616220105425
covtype,ranf,100,1,14594786797.0,26932.0,0.6712260288730877,0.2998076762178303,0.6712260288730877,0.2869741297269267,0.6134465973453338,0.6712260288730877,0.49488565203471774
covtype,ranf,100,2,11399647097.0,19696.0,0.6699456938025526,0.29900089446594985,0.6699456938025526,0.2871940210044096,0.6122779256078247,0.6699456938025526,0.4932179035992465
covtype,ranf,100,3,10482302308.0,19181.0,0.6738716213303444,0.3069391068288129,0.6738716213303444,0.29254545013978295,0.6169794906675392,0.6738716213303444,0.497966808738
covtype,ranf,100,4,10434944028.0,20019.0,0.6748812070906263,0.30625166965172523,0.6748812070906263,0.2922210104195952,0.6191547457847151,0.6748812070906263,0.4993169933697786
covtype,ranf,100,5,10386950011.0,20364.0,0.6686249248475479,0.2977836322293995,0.6686249248475479,0.2853122218054754,0.6113971039989832,0.6686249248475479,0.49195141799723513
covtype,ranf,200,1,24483832700.0,40554.0,0.6705365223012282,0.2977615190293871,0.6705365223012282,0.2855616059354461,0.6125175056320068,0.6705365223012282,0.49407003037355046
covtype,ranf,200,2,17056011476.0,23868.0,0.6768221837804342,0.3018026533801774,0.6768221837804342,0.2897349472246279,0.6188087287679761,0.6768221837804342,0.5011203190795817
covtype,ranf,200,3,16143064323.0,35042.0,0.669224468681295,0.29418176961669923,0.669224468681295,0.2850247448879822,0.611346997077625,0.669224468681295,0.4922899666574382
covtype,ranf,200,4,16149144866.0,22360.0,0.6730080169102673,0.29817343961221027,0.6730080169102673,0.28679193088166505,0.6171966260444178,0.6730080169102673,0.4971377333046399
covtype,ranf,200,5,16648974998.0,22257.0,0.6713905350854591,0.2983780403680639,0.6713905350854591,0.28622677069690844,0.6134188812172852,0.6713905350854591,0.4950208092317977
covtype,ranf,500,1,50880405166.0,65951.0,0.6707433742727861,0.3007370123009814,0.6707433742727861,0.2875202385328332,0.6129948453528861,0.6707433742727861,0.4943278466498864
covtype,ranf,500,2,44908305234.0,40082.0,0.6721144991522725,0.2980550845532211,0.6721144991522725,0.2867419251757247,0.6145191089206664,0.6721144991522725,0.4957545930245697
covtype,ranf,500,3,44950972830.0,40125.0,0.6694313919903436,0.29674925861765716,0.6694313919903436,0.2855631253086405,0.6123663914423031,0.6694313919903436,0.49284341991947705
covtype,ranf,500,4,46614088748.0,39545.0,0.674649206471958,0.29869787760337835,0.674649206471958,0.2873481295459058,0.6181756233362531,0.674649206471958,0.4989858834428959
covtype,ranf,500,5,44548339582.0,37797.0,0.6696040539379885,0.2985146389151518,0.6696040539379885,0.2860621218836815,0.6115259809514848,0.6696040539379885,0.49296373269575466
covtype,rotf,10,1,58479000140.0,20842.0,0.7148675468116317,0.40169498403991705,0.7148675468116316,0.4015801156434521,0.702359782408028,0.7148675468116317,0.549640342065843
covtype,rotf,10,2,43965087191.0,18266.0,0.7190433616450603,0.40449505980282197,0.7190433616450603,0.4197644216039961,0.7187209163561195,0.7190433616450603,0.5536645818332542
